pair distance,Sample
0.3,A
0.721110255092798,A
1.5,A
1,A
0.2,A
1.4,A
1.4560219778561,A
0.282842712474619,A
0.7,A
0.3,A
1.4422205101856,A
0.282842712474619,A
0.447213595499958,A
0.824621125123532,A
0.360555127546399,A
0.4,A
1.7,A
0.2,A
0.53851648071345,A
0.728010988928052,A
0.360555127546399,A
0.447213595499958,A
1.22065556157337,A
0.360555127546399,A
1.17046999107196,A
0.806225774829855,A
0.360555127546399,A
0.728010988928052,A
0.5,A
1.61245154965971,A
0.894427190999916,A
0.3,A
0.632455532033676,A
1.26491106406735,A
0.728010988928052,A
0.5,A
0.3,A
0.640312423743285,A
1.13137084989848,A
1.17046999107196,A
0.565685424949238,A
0.360555127546399,A
1.17046999107196,A
1.31529464379659,A
0.728010988928052,A
0.53851648071345,A
0.360555127546399,A
0.640312423743285,A
0.728010988928052,A
1.9,A
0.447213595499958,A
0.4,A
1.1180339887499,A
0.824621125123532,A
1.6,A
0.921954445729289,A
0.53851648071345,A
0.6,A
0.98488578017961,A
0.640312423743285,A
1.17046999107196,B
0.3,B
0,B
0.7,B
0.8,B
1.87882942280559,B
0.824621125123532,B
0.360555127546399,B
1.2,B
2.1,B
0.9,B
1.2,B
0.5,B
0.98488578017961,B
1.36014705087354,B
0.921954445729289,B
1.52315462117278,B
0.5,B
1.3,B
0.721110255092798,B
0.282842712474619,B
0.2,B
0.447213595499958,B
1.71172427686237,B
0.53851648071345,B
1.34164078649987,B
0.447213595499958,B
0.5,B
0.282842712474619,B
0.53851648071345,B
1.26491106406735,B
1.01980390271856,B
0.3,B
1.552417469626,B
0.632455532033676,B
0.721110255092798,B
0.2,B
1.25299640861417,B
0.632455532033676,B
0.447213595499958,B
1.26491106406735,B
0.223606797749979,B
0.53851648071345,B
0.5,B
1.61245154965971,B
1.1180339887499,B
0.53851648071345,B
0.5,B
0.565685424949238,B
1.51327459504216,B
1.0770329614269,B
0.5,B
0.4,B
0.921954445729289,B
0.360555127546399,B
0.921954445729289,B
0.5,B
0.360555127546399,B
1.51327459504216,B
0.282842712474619,B
1.61245154965971,B
0.2,B
1,B
0.921954445729289,B
1,B
0.2,B
1.76918060129541,B
0.5,B
1.81107702762748,B
0.1,B
1,B
0.53851648071345,B
1.9723082923316,B
0.360555127546399,B
0.721110255092798,B
0.360555127546399,B
0.721110255092798,B
1.1,B
1.3,B
0.282842712474619,B
0.447213595499958,B
1.4142135623731,B
1.21655250605964,B
0.921954445729289,B
1.20415945787923,B
1.0816653826392,B
1.6,B
0.2,B
0.640312423743285,B
0.894427190999916,B
0.447213595499958,B
0.728010988928052,B
0.282842712474619,B
0.806225774829855,B
0.2,B
1.1180339887499,B
1.61245154965971,B
1.2,B
0.1,B
0.943398113205661,B
0.4,C
0.447213595499958,C
1.1,C
0.781024967590666,C
0.4,C
1.01980390271856,C
0.3,C
0.4,C
0.447213595499958,C
1.0816653826392,C
0.8,C
0.670820393249937,C
0.921954445729289,C
0.360555127546399,C
0.894427190999916,C
0.565685424949238,C
0.4,C
1.0816653826392,C
0.53851648071345,C
0.781024967590666,C
0.565685424949238,C
0.4,C
0.6,C
0.53851648071345,C
0.632455532033676,C
0.8,C
0.447213595499958,C
0.721110255092798,C
0.5,C
0.360555127546399,C
0.921954445729289,C
0.608276253029822,C
0.360555127546399,C
0.360555127546399,C
0.894427190999916,C
0.2,C
0.632455532033676,C
1.2,C
0.5,C
0.6,C
0.3,C
0.721110255092798,C
1.17046999107196,C
0.3,C
0.5,C
0.360555127546399,C
1.7,C
0.360555127546399,C
0.2,C
0.5,C
1.552417469626,C
1.52315462117278,C
0.4,C
0.282842712474619,C
1.7,C
1,C
0.7,C
1.21655250605964,C
0.447213595499958,C
0.7,C
0.921954445729289,C
0.360555127546399,C
1.21655250605964,C
0.6,C
0.721110255092798,C
0.447213595499958,C
0.8,C
0.3,C
0.2,C
1.1180339887499,C
1.01980390271856,C
0.565685424949238,C
0.921954445729289,C
0.2,C
1.1,C
1.7464249196573,C
1.36014705087354,C
0.53851648071345,C
0.728010988928052,C
1.21655250605964,C
0.640312423743285,C
0.447213595499958,C
0.640312423743285,C
0.447213595499958,C
0.4,C
0.2,C
1.4142135623731,C
0.7,C
1.0816653826392,C
0.3,C
0.360555127546399,C
1.01980390271856,C
1.4560219778561,C
1.5,C
0.806225774829855,C
0.824621125123532,C
0.721110255092798,C
0.4,C
0.447213595499958,C
1.1,C
1.17046999107196,D
1.2,D
0.282842712474619,D
1.3,D
0.921954445729289,D
1.26491106406735,D
0.565685424949238,D
0.848528137423857,D
1.04403065089106,D
0.728010988928052,D
0.632455532033676,D
1.84390889145858,D
1.78044938147649,D
0.632455532033676,D
0.728010988928052,D
0.360555127546399,D
0.8,D
0.8,D
1.4142135623731,D
0.282842712474619,D
0.9,D
1.52315462117278,D
0.806225774829855,D
0.824621125123532,D
1.51327459504216,D
1.43178210632764,D
0.921954445729289,D
0.2,D
2.08806130178211,D
1.552417469626,D
0.894427190999916,D
1.72046505340853,D
1.70880074906351,D
1,D
1.2,D
1.01980390271856,D
1.06301458127347,D
1.3,D
1.2,D
0.53851648071345,D
1.52315462117278,D
0.848528137423857,D
0.848528137423857,D
1.7464249196573,D
1.1180339887499,D
1.0816653826392,D
0.721110255092798,D
0.6,D
1.16619037896906,D
0.9,D
0.565685424949238,D
2.06155281280883,D
0.98488578017961,D
0.806225774829855,D
2,D
0.9,D
2.7,D
1.26491106406735,D
1.71172427686237,D
0.7,D
1.0770329614269,D
0.632455532033676,D
1.4422205101856,D
1.7,D
1.16619037896906,D
0.360555127546399,D
1.21655250605964,D
1.6,D
0.9,D
0.282842712474619,D
1.61245154965971,D
1.26491106406735,D
1.4142135623731,D
0.565685424949238,D
0.806225774829855,D
1.34164078649987,D
0.53851648071345,D
0.640312423743285,D
0.6,D
1.7,D
1.0816653826392,D
1,D
1.61245154965971,D
1.34164078649987,D
1.4,D
0.2,D
1.8,D
0.565685424949238,D
1,D
1.91049731745428,D
1.7464249196573,D
0.53851648071345,D
0.447213595499958,D
0.640312423743285,D
1.8,D
0.3,D
1.31529464379659,D
0.632455532033676,D
1.36014705087354,D
1.64924225024706,D
0.98488578017961,E
0.721110255092798,E
1,E
1.4142135623731,E
0.921954445729289,E
0.632455532033676,E
1.01980390271856,E
1.4142135623731,E
0.3,E
1.21655250605964,E
0.8,E
0.3,E
0.447213595499958,E
0.3,E
0.6,E
1.51327459504216,E
0.3,E
1.28062484748657,E
2.2,E
0.360555127546399,E
0.282842712474619,E
0.4,E
1.3,E
1.51327459504216,E
0.98488578017961,E
0.447213595499958,E
0.9,E
0.894427190999916,E
1.21655250605964,E
0.5,E
1.4142135623731,E
0.728010988928052,E
0.360555127546399,E
1,E
2.1540659228538,E
0.670820393249937,E
1.1180339887499,E
0.4,E
0.5,E
1.01980390271856,E
1.4,E
0.3,E
1.4422205101856,E
0.53851648071345,E
1.7464249196573,E
0.781024967590666,E
1.3,E
2.30867927612304,E
1.61245154965971,E
1.51327459504216,E
1.61245154965971,E
0.6,E
0.894427190999916,E
0.53851648071345,E
0.9,E
0.53851648071345,E
1.26491106406735,E
1.81107702762748,E
0.6,E
0.670820393249937,E
0.565685424949238,E
2.30867927612304,E
0.6,E
1.1180339887499,E
1.1180339887499,E
0.824621125123532,E
0.6,E
0.806225774829855,E
0.721110255092798,E
0.943398113205661,E
0.848528137423857,E
0.8,E
0.5,E
1.72046505340853,E
2.03960780543711,E
0.5,E
0.632455532033676,E
1.34164078649987,E
1.0770329614269,E
1.64924225024706,E
0.3,E
1.34164078649987,E
0.640312423743285,E
1.01980390271856,E
1.0770329614269,E
1.31529464379659,E
1.17046999107196,E
1.26491106406735,E
0.447213595499958,E
1.25299640861417,E
0.6,E
0.5,E
1.61245154965971,E
0.632455532033676,E
0.53851648071345,E
0.7,E
0.8,E
2.03960780543711,E
1.62788205960997,E
1.1,E
